row_id,Harvest_method,Fruit_total_norm,speed_tot_norm,stem_tot_norm,stem_ht_norm,branch_cnt_norm,fruit_loss_norm,Total_fruit_norm
1,1,0.068736142,0.22128294,0.266666667,0.239700499,0.232144228,0.972972973,0.059991846
2,1,0.268292683,0.446155512,0.12,0.111111236,0.07143023,0.125984252,0.059991846
3,1,0.363636364,0.671028084,0.36,0.383271036,0.285715561,0.194117647,0.059991846
4,1,0.146341463,0.18519228,0.266666667,0.494382147,0.321429783,0.291666667,0.166139094
5,1,0.279379157,0.373974192,0.173333333,0.071161174,0.07143023,0.333333333,0.166139094
6,1,0.361419069,0.562756105,0.293333333,0.200998876,0.410715338,0.059171598,0.166139094
7,1,0.494456763,0.293464259,0.186666667,0.049937703,0.303572672,0.056768559,0.062391519
8,1,0.410199557,0.590518151,0.426666667,0.3283397,0.285715561,0.277486911,0.062391519
9,1,0.277161863,0.887572043,0.493333333,0.42072422,0.410715338,0.427480916,0.062391519
10,1,0.215077605,0.274030827,0.346666667,0.468164919,0.410715338,0.252427185,0.031348938
11,1,0.259423503,0.551651286,0.36,0.404494507,0.517858004,0.138211382,0.031348938
12,1,0.062084257,0.829271746,0.226666667,0.436953933,0.392858227,0.735294118,0.031348938
13,0,0.179600887,0.001090867,0.36,0.314606866,0.321429783,0.034482759,0.18860412
14,0,0.201773836,0.005771366,0.173333333,0.310861548,0.553572226,0.432989691,0.18860412
15,0,0.432372506,0.010451865,0.186666667,0.278402122,0.392858227,0.333333333,0.18860412
16,1,0.139689579,0.179639871,0.266666667,0.290886517,0.250001339,0.028985507,0.048452992
17,1,0.223946785,0.362869374,0.266666667,0.141073783,0.053573119,0.85046729,0.048452992
18,1,0.159645233,0.546098877,0.36,0.389513233,0.178572895,0.102564103,0.048452992
19,1,0.170731707,0.246268781,0.453333333,0.318352185,0.250001339,0.301204819,0.032370076
20,1,0.179600887,0.496127195,0.373333333,0.133583146,0.125001563,0.747126437,0.032370076
21,1,0.152993348,0.745985608,0.306666667,0.440699251,0.178572895,0.36,0.032370076
22,0,0.170731707,0,0.333333333,0.450686767,0.357144005,0.084337349,0.191667533
23,0,0.261640798,0.003607935,0.306666667,0.257178652,0.160715784,0.483870968,0.191667533
24,0,0.172949002,0.007206719,0.44,0.219725468,0.214287117,0.047619048,0.191667533
25,1,0.294900222,0.153265927,0.466666667,0.348314731,0.571429337,0.366906475,0.12156644
26,1,0.534368071,0.310121487,0.693333333,0.287141199,0.125001563,0.157894737,0.12156644
27,1,0.161862528,0.466977046,0.306666667,0.26092397,0.303572672,0,0.12156644
28,1,0.195121951,0.292076157,0.32,0.367041323,0.500000893,0.265957447,0.131982043
29,1,0.046563193,0.587741946,0.213333333,0.204744195,0.017858897,0.888888889,0.131982043
30,1,0.314855876,0.883407736,0.026666667,0.298377154,0.303572672,0.162162162,0.131982043
32,1,0.095343681,0.393407625,0.133333333,0.194756679,0.07143023,1,0.026039023
33,1,0.199556541,0.591906253,0.173333333,0.242197378,0.250001339,0.729166667,0.026039023
34,1,0.077605322,0.201849508,0.333333333,0.541822846,0.482143782,0.219512195,0.116052298
35,1,0.203991131,0.407288648,0.306666667,0.504369663,0.160715784,0.581632653,0.116052298
36,1,0.261640798,0.612727788,0.64,0.453183645,0.053573119,0.427419355,0.116052298
37,0,0.059866962,0.000167798,0.4,0.660424594,0.535715115,0.636363636,0.088838982
38,0,0.22616408,0.003925229,0.773333333,0.469413358,0.125001563,0.287037037,0.088838982
39,0,0.179600887,0.00768266,0.453333333,0.554307241,0.428572449,0.172413793,0.088838982
40,0,0.082039911,0.000466605,0.386666667,0.335830337,0.44642956,0.186046512,0.075257853
41,0,0.033259424,0.004522842,0.613333333,0.439450812,0.107144452,0.095238095,0.075257853
42,0,0.00443459,0.008579079,0.186666667,0.1922598,0.053573119,1,0.075257853
43,1,0.101995565,0.267090315,0.626666667,0.455680524,0.26785845,0.692307692,0.035433488
44,1,0.159645233,0.537770264,0.8,0.404494507,0.196430006,0.256410256,0.035433488
45,1,0.228381375,0.808450212,0.56,0.440699251,0.250001339,0.23853211,0.035433488
